﻿no,height,weight,top,chest,shoulder,arm,neck,ntk,waist,ass,bottom,thighs,gender,age
F862,169.2,72.2,72.2,92.6,35.9,50.6,39.6,100.6,86.8,94.1,99.6,56.9,M,64
F863,170.9,73.3,73.3,92.9,41.4,53.1,,143.1,88.7,97.4,74.9,56.1,M,55
F864,174.3,63.8,63.8,88.9,37,57.8,36.5,101.2,76.1,91,106,52.1,M,36
F865,177.9,81.7,81.7,104.2,41.6,58.4,40.8,99.2,90.6,94,107.1,53.6,M,65
F866,176.4,88.9,88.9,104.3,39.9,56.6,39.8,99.7,95.7,100.9,104.8,58.1,M,61
F867,175.3,81.4,81.4,96.1,38.6,53.6,40.1,100.2,90.6,100.4,103.8,56.8,M,69
F868,172.4,84.4,84.4,101.1,38.9,57.1,42.4,99.1,97.4,102.2,100.4,57.3,M,53
F869,167.5,67.3,67.3,89.6,37.9,52.7,39.6,99.7,82.1,93.6,101.3,52.3,M,51
F870,175.3,74.4,74.4,92.1,39.9,53,39.4,98.2,85.2,93.8,101.3,54.1,M,51
F871,163.8,68.5,68.5,92.4,35.8,52.5,41.2,94,90,94.6,99.7,56.2,M,60
F872,175.6,66.7,66.7,89.3,38.6,55.3,38.4,101.7,83.2,91.4,104.6,53.5,M,58
F873,173.2,92.7,92.7,105.4,41,55.9,44.7,98.1,98.2,104.3,104.5,62.4,M,64
F874,163.1,66.6,66.6,95.2,38.3,51.9,39.2,90,84.7,92.6,96,55.1,M,67
F875,172.7,66.1,66.1,89.8,39.6,55.3,39.6,97.4,78,88.9,104.6,52.4,M,57
F876,169.1,59.6,59.6,86.4,37.1,53.8,36.1,98.3,72.3,89.6,102.1,50.7,M,56
F877,164.9,66.1,66.1,94.6,37.5,52.6,37.4,96.9,83.2,94.6,98.9,54.1,M,68
F878,168.4,66.1,66.1,90.8,38.2,53.3,38.5,99.5,88.3,89.2,99.4,49.2,M,66
F879,165.3,72.9,72.9,95.7,38.6,50.3,40.6,96.1,84.3,94.6,99.5,58.7,M,52
F880,160.4,57.2,57.2,87.1,36.6,51.4,38.7,92.5,80.3,85.4,95.5,48.7,M,65
F881,174.4,78.1,78.1,95.4,39.7,53.8,38.5,100.4,84.6,97.6,104.8,56.2,M,55
F882,173.7,78.7,78.7,94.7,39.5,57.1,39.8,99.5,90.7,98.3,104.6,57.9,M,53
F883,167.1,78.1,78.1,94.1,38.7,53.2,39.4,96.9,89.8,102.4,100.7,59.2,M,56
F884,173.4,74.9,74.9,95.3,39.5,54.4,40.8,98.4,87.2,96.7,104,57.1,M,52
F885,170.2,66.4,66.4,94.9,36.8,55.6,41.3,97.5,89.1,88.7,104,49.8,M,69
F886,165.8,69.7,69.7,92.3,37.8,50.8,40.3,94.9,88.6,94.3,98.4,94.2,M,58
F887,163.2,72.4,72.4,94.9,37.9,51.4,39.3,93,89.8,94.5,97.2,54.3,M,65
F888,165,66,66,92.7,36.4,52.1,38.2,96.3,84.6,94.2,99.7,54.1,M,58
F889,169.5,78.6,78.6,98.1,38.8,55.5,42.2,96.5,93.8,96.8,101.3,53.3,M,67
F890,11,77.3,77.3,98.4,40.1,56.7,39.3,97.5,92.3,95.9,102.9,54.2,M,68
F891,167.9,64.8,64.8,89.8,36.6,53.6,36.4,98.1,78.6,89.6,99.8,51.2,M,53
F892,163.1,67,67,89.4,37.9,51.7,38.5,93.4,82.6,92.4,97.6,55.1,M,58
F893,174.9,80.9,80.9,98.8,38.9,53.7,42.8,99.8,95.9,98.2,106.4,56.3,M,59
F894,182.9,75.9,75.9,91.8,37.8,60.1,40.6,106.8,91.5,95.2,113.8,55.3,M,59
F895,168.1,66.6,66.6,91.2,37.1,52.6,38.9,94.8,80.6,92.4,103.9,54.7,M,55
F896,169.9,67.6,67.6,90.4,37.6,54.8,38.6,97.6,84.3,90.8,102.8,49.8,M,49
F897,175.7,72.7,72.7,95.3,40.4,57.7,37.6,102.2,81.7,95.4,107.9,55.8,M,32
F898,174.6,83.3,83.3,106.3,41.9,54.1,40.5,102.9,85.4,97.2,101.8,60.6,M,46
F899,174.7,83.7,83.7,101.8,40.1,56.1,38.4,102.6,91.2,101.2,105.3,60.2,M,44
F900,167.1,78.3,78.3,100.6,40.5,53,42,98,90.1,95.3,102.8,55.4,M,46
F901,162.3,74.4,74.4,97.3,37.6,51.6,39.7,94,95.1,94.1,96.2,54.3,M,59
F902,171.2,68.1,68.1,93.2,36.8,55.6,37.4,98.8,78.1,92.8,102.3,93.1,M,43
F903,163,72.2,72.2,96.1,37.2,52.2,39.5,91,94.3,96.3,96.4,52.3,M,72
F904,165.2,76.4,76.4,93.8,38.4,51.9,40.4,95.9,88.3,99.4,97.1,59.9,M,42
F905,171,65.3,65.3,86.2,32.8,50.5,38.3,98.5,79.4,92.8,102.2,52.2,M,45
F906,169.6,75.6,75.6,92.2,37.3,54.6,39.7,98.3,89.7,97.8,105.8,55.6,M,59
F907,176.8,77.6,77.6,95.8,39.1,56.6,39.1,104.9,83.7,99.5,107.4,58.2,M,32
F908,174.4,78.1,78.1,96.9,39.8,55.3,37.5,100.4,87.8,97.7,106.2,58.4,M,60
F909,172.8,69,69,94.2,38.8,53.9,36.7,99.6,80.8,92.4,102.9,50.5,M,52
F910,172.4,65.1,65.1,92.3,38.2,53.8,38.2,100.7,81.8,89.7,106.7,51,M,52
F911,166.4,67.4,67.4,91.4,38.3,51.6,37.2,95.3,79.2,91.8,100.7,54.7,M,50
F912,154.7,59,59,88.2,34.8,52.5,40.4,88.8,85.7,89.6,92.7,48.7,M,75
F913,161.7,66.9,66.9,91.7,35.2,51.5,40,95.3,92.2,96.3,97.9,50.8,M,69
F914,171.4,68.7,68.7,93.7,40.8,54.9,41.5,96.9,84.6,87.9,101.2,48.7,M,51
F915,157.9,58.9,58.9,89.3,36.4,49.2,35.3,90.8,82.1,88.3,94.8,48.8,M,78
F916,168.8,78.4,78.4,90.2,38.1,56.3,40.4,99.4,88.4,99.1,102.7,56.6,M,72
F917,171.9,64.1,64.1,89.4,34.2,57.9,36.9,96.5,79.8,91.3,105.2,48.4,M,68
F918,168.1,67.3,67.3,97.4,40.6,54.7,36.2,98.3,85.9,90.5,100.4,47.4,M,67
F919,167.3,65.5,65.5,95.3,36.7,55.8,38.3,96.3,85.6,89.5,102.2,50.2,M,66
F920,169.6,77.1,77.1,100.4,37.6,54.1,38.4,94.7,91.4,94.9,99.8,54.6,M,61
F921,168.9,75.5,75.5,97.2,38.7,55.5,39.5,98.3,90.2,92.8,102.6,93.7,M,63
F922,177.3,80.7,80.7,95.2,39,58.4,41.4,103.1,97.8,97.3,104.8,55.6,M,67
F923,170.5,59.8,59.8,84.9,36.6,56.2,37.5,99.4,75.7,85.9,102.9,47.1,M,64
F924,175.7,71.4,71.4,90.6,36.6,59.4,38.4,103.9,84.6,93.5,104.8,49.7,M,65
F925,174.3,80,80,94.6,39.1,53.4,37.8,101.3,86.2,99.5,105.3,56.5,M,59
F926,170.6,61.9,61.9,86.8,38.1,57,37.9,96.3,82.1,89.5,101.8,48.2,M,56
F927,166.5,69.3,69.3,93.7,36.2,52.6,39.6,97.5,82.8,90.8,101.3,53.1,M,70
F928,162.6,73.7,73.7,94.3,36.9,52.7,41.3,94.4,96.1,94.5,98.1,54.7,M,66
F929,165.6,88.3,88.3,102.8,39.5,54.4,46.1,99.1,97.7,105.9,99,59.8,M,69
F930,174,75,75,96.4,38.8,57.6,40.1,104,89.5,93.1,101.4,52.8,M,62
F931,168,90.1,90.1,99.2,38.3,56.9,41.7,100.4,107.6,98.8,99.8,57.5,M,76
